"series_id","year","value"
"PRS30006011      ","2022","32.800000000000004"
"PRS30006012      ","2022","26.0"
"PRS30006013      ","1998","1129.426"
"PRS30006021      ","2010","28.4"
"PRS30006022      ","2010","17.799999999999997"
"PRS30006023      ","2014","805.0240000000001"
"PRS30006031      ","2022","32.8"
"PRS30006032      ","2021","27.8"
"PRS30006033      ","1998","1123.406"
"PRS30006061      ","2022","59.199999999999996"
"PRS30006062      ","2021","51.4"
"PRS30006063      ","2024","1034.8020000000001"
"PRS30006091      ","2002","69.2"
"PRS30006092      ","2002","71.39999999999999"
"PRS30006093      ","2013","822.734"
"PRS30006101      ","2020","53.4"
"PRS30006102      ","2020","58.800000000000004"
"PRS30006103      ","2024","1032.104"
"PRS30006111      ","2020","55.0"
"PRS30006112      ","2008","78.6"
"PRS30006113      ","2024","1046.74"
"PRS30006151      ","2020","42.2"
"PRS30006152      ","2020","51.39999999999999"
"PRS30006153      ","2020","847.5319999999999"
"PRS30006161      ","2010","81.0"
"PRS30006162      ","2002","78.6"
"PRS30006163      ","2014","825.4860000000001"
"PRS30006211      ","2010","56.0"
"PRS30006212      ","1997","63.6"
"PRS30006213      ","2007","838.1199999999999"
"PRS31006011      ","2022","32.4"
"PRS31006012      ","2022","32.0"
"PRS31006013      ","1998","1132.548"
"PRS31006021      ","2010","31.0"
"PRS31006022      ","2010","20.799999999999997"
"PRS31006023      ","2014","805.566"
"PRS31006031      ","2022","38.0"
"PRS31006032      ","2011","36.6"
"PRS31006033      ","1998","1127.964"
"PRS31006061      ","2022","56.800000000000004"
"PRS31006062      ","2023","52.4"
"PRS31006063      ","2024","1038.682"
"PRS31006091      ","2010","68.6"
"PRS31006092      ","2002","82.8"
"PRS31006093      ","2014","811.7339999999999"
"PRS31006101      ","2000","55.4"
"PRS31006102      ","2020","67.80000000000001"
"PRS31006103      ","2024","1039.318"
"PRS31006111      ","2009","60.2"
"PRS31006112      ","2008","109.6"
"PRS31006113      ","2024","1078.412"
"PRS31006151      ","2020","44.0"
"PRS31006152      ","2020","60.6"
"PRS31006153      ","2020","847.296"
"PRS31006161      ","2010","102.6"
"PRS31006162      ","2002","92.2"
"PRS31006163      ","2014","817.38"
"PRS31006211      ","1997","76.2"
"PRS31006212      ","1997","92.0"
"PRS31006213      ","2007","837.3820000000001"
"PRS32006011      ","2022","33.8"
"PRS32006012      ","2021","24.6"
"PRS32006013      ","1995","1161.85"
"PRS32006021      ","2010","23.2"
"PRS32006022      ","2010","12.600000000000001"
"PRS32006023      ","2012","805.068"
"PRS32006031      ","2021","29.400000000000002"
"PRS32006032      ","2021","28.2"
"PRS32006033      ","1995","1136.9319999999998"
"PRS32006061      ","2022","65.0"
"PRS32006062      ","2021","52.8"
"PRS32006063      ","2024","1027.282"
"PRS32006091      ","2002","56.0"
"PRS32006092      ","2004","54.800000000000004"
"PRS32006093      ","2014","822.208"
"PRS32006101      ","2020","54.400000000000006"
"PRS32006102      ","2003","57.2"
"PRS32006103      ","2024","1018.9560000000001"
"PRS32006111      ","2020","56.8"
